ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
207,2023/2/9,15:22:09,236,ON,0,安全クラッチ異常
208,2023/2/9,15:14:50,167,ON,3,ノッチ前進不良
209,2023/2/9,15:14:49,838,ON,34,ワーク無し異常
210,2023/2/9,13:34:42,837,ON,34,ワーク無し異常
211,2023/2/9,11:55:25,939,ON,2,横穴未貫通異常
212,2023/2/9,11:23:41,235,ON,0,安全クラッチ異常
213,2023/2/8,14:27:43,836,ON,34,ワーク無し異常
214,2023/2/8,13:24:45,835,ON,34,ワーク無し異常
215,2023/2/8,12:00:04,234,ON,0,安全クラッチ異常
216,2023/2/8,11:50:31,938,ON,2,横穴未貫通異常
217,2023/2/8,11:41:14,233,ON,0,安全クラッチ異常
218,2023/2/8,10:52:43,166,ON,3,ノッチ前進不良
219,2023/2/8,10:52:42,834,ON,34,ワーク無し異常
220,2023/2/7,18:06:19,937,ON,2,横穴未貫通異常
221,2023/2/7,18:04:33,833,ON,34,ワーク無し異常
222,2023/2/7,17:11:18,832,ON,34,ワーク無し異常
223,2023/2/7,15:31:45,831,ON,34,ワーク無し異常
224,2023/2/6,9:52:39,935,ON,2,横穴未貫通異常
225,2023/2/6,9:17:01,828,ON,34,ワーク無し異常
226,2023/2/6,9:12:32,430,ON,4,首下位置不良
227,2023/2/6,9:12:13,934,ON,2,横穴未貫通異常
228,2023/2/6,14:10:58,830,ON,34,ワーク無し異常
229,2023/2/6,12:35:32,165,ON,3,ノッチ前進不良
230,2023/2/6,12:32:44,829,ON,34,ワーク無し異常
231,2023/2/6,11:25:52,232,ON,0,安全クラッチ異常
232,2023/2/6,10:57:07,231,ON,0,安全クラッチ異常
233,2023/2/6,10:35:04,936,ON,2,横穴未貫通異常
234,2023/2/4,12:57:54,933,ON,2,横穴未貫通異常
235,2023/2/4,12:15:15,932,ON,2,横穴未貫通異常
236,2023/2/4,10:36:26,931,ON,2,横穴未貫通異常
237,2023/2/3,19:09:09,164,ON,3,ノッチ前進不良
238,2023/2/3,19:09:08,827,ON,34,ワーク無し異常
239,2023/2/3,18:36:08,930,ON,2,横穴未貫通異常
240,2023/2/3,17:13:48,929,ON,2,横穴未貫通異常
241,2023/2/3,15:03:01,928,ON,2,横穴未貫通異常
242,2023/2/3,14:59:11,927,ON,2,横穴未貫通異常
243,2023/2/3,14:03:16,826,ON,34,ワーク無し異常
244,2023/2/3,13:18:47,926,ON,2,横穴未貫通異常
245,2023/2/3,13:07:39,825,ON,34,ワーク無し異常
246,2023/2/3,12:52:17,57,ON,1,クランプ不良
247,2023/2/3,12:48:04,56,ON,1,クランプ不良
248,2023/2/3,12:47:59,55,ON,1,クランプ不良
249,2023/2/3,12:46:10,230,ON,0,安全クラッチ異常
250,2023/2/3,12:45:45,229,ON,0,安全クラッチ異常
