ALARM ID,0
DATE,2023/01/04,12:48:37,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
278,2022/10/07,16:39:13,551,ON,7,ツール送り(軸2)サーボ異常
279,2022/10/07,16:39:13,551,ON,6,ツール回転(軸1)サーボ異常
280,2022/10/07,16:39:13,528,ON,2,インデックス定位置異常
281,2022/10/05,09:59:37,546,ON,12,ワーク無し異常
282,2022/10/05,09:05:37,545,ON,12,ワーク無し異常
283,2022/10/04,19:44:49,544,ON,12,ワーク無し異常
284,2022/10/04,19:20:49,543,ON,12,ワーク無し異常
285,2022/10/04,15:49:07,550,ON,7,ツール送り(軸2)サーボ異常
286,2022/10/04,15:49:07,550,ON,6,ツール回転(軸1)サーボ異常
287,2022/10/04,15:49:07,527,ON,2,インデックス定位置異常
288,2022/10/04,12:48:44,549,ON,7,ツール送り(軸2)サーボ異常
289,2022/10/04,12:48:44,549,ON,6,ツール回転(軸1)サーボ異常
290,2022/10/04,12:48:44,526,ON,2,インデックス定位置異常
291,2022/10/03,19:31:57,548,ON,7,ツール送り(軸2)サーボ異常
292,2022/10/03,19:31:57,548,ON,6,ツール回転(軸1)サーボ異常
293,2022/10/03,19:31:57,525,ON,2,インデックス定位置異常
294,2022/10/03,10:41:41,542,ON,12,ワーク無し異常
295,2022/09/30,17:35:41,541,ON,12,ワーク無し異常
296,2022/09/30,11:58:15,540,ON,12,ワーク無し異常
297,2022/09/30,11:17:31,539,ON,12,ワーク無し異常
298,2022/09/29,18:28:31,538,ON,12,ワーク無し異常
299,2022/09/29,15:50:53,537,ON,12,ワーク無し異常
300,2022/09/28,14:39:26,536,ON,12,ワーク無し異常
301,2022/09/27,15:34:58,535,ON,12,ワーク無し異常
302,2022/09/27,14:14:26,547,ON,7,ツール送り(軸2)サーボ異常
303,2022/09/27,14:14:26,547,ON,6,ツール回転(軸1)サーボ異常
304,2022/09/27,14:14:26,524,ON,2,インデックス定位置異常
305,2022/09/26,19:28:38,546,ON,7,ツール送り(軸2)サーボ異常
306,2022/09/26,19:28:38,546,ON,6,ツール回転(軸1)サーボ異常
307,2022/09/26,19:28:38,523,ON,2,インデックス定位置異常
308,2022/09/26,18:55:37,534,ON,12,ワーク無し異常
309,2022/09/23,18:56:43,545,ON,7,ツール送り(軸2)サーボ異常
310,2022/09/23,18:56:43,545,ON,6,ツール回転(軸1)サーボ異常
311,2022/09/23,18:56:43,522,ON,2,インデックス定位置異常
312,2022/09/23,18:12:12,544,ON,7,ツール送り(軸2)サーボ異常
313,2022/09/23,18:12:12,544,ON,6,ツール回転(軸1)サーボ異常
314,2022/09/23,18:12:12,521,ON,2,インデックス定位置異常
315,2022/09/22,18:57:23,533,ON,12,ワーク無し異常
316,2022/09/22,14:32:11,543,ON,7,ツール送り(軸2)サーボ異常
317,2022/09/22,14:32:11,543,ON,6,ツール回転(軸1)サーボ異常
318,2022/09/22,14:32:11,520,ON,2,インデックス定位置異常
319,2022/09/22,10:39:51,542,ON,7,ツール送り(軸2)サーボ異常
320,2022/09/22,10:39:51,542,ON,6,ツール回転(軸1)サーボ異常
321,2022/09/22,10:39:51,519,ON,2,インデックス定位置異常
322,2022/09/21,18:52:55,541,ON,7,ツール送り(軸2)サーボ異常
323,2022/09/21,18:52:55,541,ON,6,ツール回転(軸1)サーボ異常
324,2022/09/21,18:52:55,518,ON,2,インデックス定位置異常
325,2022/09/21,17:58:39,540,ON,7,ツール送り(軸2)サーボ異常
326,2022/09/21,17:58:39,540,ON,6,ツール回転(軸1)サーボ異常
327,2022/09/21,17:58:39,517,ON,2,インデックス定位置異常
328,2022/09/21,15:20:14,539,ON,7,ツール送り(軸2)サーボ異常
329,2022/09/21,15:20:14,539,ON,6,ツール回転(軸1)サーボ異常
330,2022/09/21,15:20:14,516,ON,2,インデックス定位置異常
331,2022/09/20,10:36:49,532,ON,12,ワーク無し異常
332,2022/09/19,11:22:22,538,ON,7,ツール送り(軸2)サーボ異常
333,2022/09/19,11:22:22,538,ON,6,ツール回転(軸1)サーボ異常
334,2022/09/19,11:22:22,515,ON,2,インデックス定位置異常
335,2022/09/16,17:36:01,537,ON,7,ツール送り(軸2)サーボ異常
336,2022/09/16,17:36:01,537,ON,6,ツール回転(軸1)サーボ異常
337,2022/09/16,17:36:01,514,ON,2,インデックス定位置異常
338,2022/09/16,09:47:26,531,ON,12,ワーク無し異常
339,2022/09/15,15:13:04,530,ON,12,ワーク無し異常
340,2022/09/14,18:53:12,529,ON,12,ワーク無し異常
341,2022/09/13,12:43:51,528,ON,12,ワーク無し異常
342,2022/09/12,14:24:45,527,ON,12,ワーク無し異常
343,2022/09/12,12:55:05,536,ON,7,ツール送り(軸2)サーボ異常
344,2022/09/12,12:55:05,536,ON,6,ツール回転(軸1)サーボ異常
345,2022/09/12,12:55:05,513,ON,2,インデックス定位置異常
346,2022/09/12,10:24:31,526,ON,12,ワーク無し異常
347,2022/09/10,10:04:08,525,ON,12,ワーク無し異常
348,2022/09/09,13:00:33,535,ON,7,ツール送り(軸2)サーボ異常
349,2022/09/09,13:00:33,535,ON,6,ツール回転(軸1)サーボ異常
350,2022/09/09,13:00:33,512,ON,2,インデックス定位置異常
351,2022/09/09,12:49:59,534,ON,7,ツール送り(軸2)サーボ異常
352,2022/09/09,12:49:59,534,ON,6,ツール回転(軸1)サーボ異常
353,2022/09/09,12:49:59,511,ON,2,インデックス定位置異常
354,2022/09/09,11:08:54,533,ON,7,ツール送り(軸2)サーボ異常
355,2022/09/09,11:08:54,533,ON,6,ツール回転(軸1)サーボ異常
356,2022/09/09,11:08:54,510,ON,2,インデックス定位置異常
357,2022/09/08,17:11:09,524,ON,12,ワーク無し異常
358,2022/09/07,15:43:52,532,ON,7,ツール送り(軸2)サーボ異常
359,2022/09/07,15:43:52,532,ON,6,ツール回転(軸1)サーボ異常
360,2022/09/07,15:43:52,509,ON,2,インデックス定位置異常
361,2022/09/05,13:03:33,523,ON,12,ワーク無し異常
362,2022/09/03,11:37:29,522,ON,12,ワーク無し異常
363,2022/08/31,19:20:52,521,ON,12,ワーク無し異常
364,2022/08/30,17:44:53,520,ON,12,ワーク無し異常
365,2022/08/25,15:06:50,519,ON,12,ワーク無し異常
366,2022/08/24,15:18:38,518,ON,12,ワーク無し異常
367,2022/08/24,15:16:58,517,ON,12,ワーク無し異常
368,2022/08/12,17:23:59,531,ON,7,ツール送り(軸2)サーボ異常
369,2022/08/12,17:23:59,531,ON,6,ツール回転(軸1)サーボ異常
370,2022/08/12,17:23:59,508,ON,2,インデックス定位置異常
371,2022/08/03,19:15:59,516,ON,12,ワーク無し異常
372,2022/08/02,19:32:19,530,ON,7,ツール送り(軸2)サーボ異常
373,2022/08/02,19:32:19,530,ON,6,ツール回転(軸1)サーボ異常
374,2022/08/02,19:32:19,507,ON,2,インデックス定位置異常
375,2022/08/02,19:32:07,529,ON,7,ツール送り(軸2)サーボ異常
376,2022/08/02,19:32:07,529,ON,6,ツール回転(軸1)サーボ異常
377,2022/08/02,19:32:07,506,ON,2,インデックス定位置異常
378,2022/08/02,19:31:39,528,ON,7,ツール送り(軸2)サーボ異常
379,2022/08/02,19:31:39,528,ON,6,ツール回転(軸1)サーボ異常
380,2022/08/02,19:31:39,505,ON,2,インデックス定位置異常
381,2022/08/02,19:27:26,527,ON,7,ツール送り(軸2)サーボ異常
382,2022/08/02,19:27:26,527,ON,6,ツール回転(軸1)サーボ異常
383,2022/08/02,19:27:26,504,ON,2,インデックス定位置異常
384,2022/08/02,15:27:40,526,ON,7,ツール送り(軸2)サーボ異常
385,2022/08/02,15:27:40,526,ON,6,ツール回転(軸1)サーボ異常
386,2022/08/02,15:27:40,503,ON,2,インデックス定位置異常
387,2022/08/02,15:26:52,525,ON,7,ツール送り(軸2)サーボ異常
388,2022/08/02,15:26:52,525,ON,6,ツール回転(軸1)サーボ異常
389,2022/08/02,15:26:52,502,ON,2,インデックス定位置異常
390,2022/07/29,10:37:15,515,ON,12,ワーク無し異常
391,2022/07/26,12:16:49,514,ON,12,ワーク無し異常
392,2022/07/26,10:36:08,524,ON,7,ツール送り(軸2)サーボ異常
393,2022/07/26,10:36:08,524,ON,6,ツール回転(軸1)サーボ異常
394,2022/07/26,10:36:08,501,ON,2,インデックス定位置異常
395,2022/07/26,09:57:56,523,ON,7,ツール送り(軸2)サーボ異常
